name,publisher,custum cpe
Microsoft Visual Studio Code (User),Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
7-Zip 15.05 beta x64,,cpe:2.3:a:7-Zip:7-Zip:*:*:*:*:*:*:*:*
Notepad++ (64-bit x64),Notepad++ Team,cpe:2.3:a:notepad-plus-plus:notepad\ \:*:*:*:*:*:*:*:*
Sublime Text 3,Sublime HQ Pty Ltd,cpe:2.3:a:sublimetext:sublime_text_3:*:*:*:*:*:*:*:*
Vim 8.1 (self-installing),,cpe:2.3:a:vim:vim:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30708,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Python 3.7.9 Utility Scripts (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Java 8 Update 311 (64-bit),Oracle Corporation,cpe:2.3:a:oracle:java:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Python 3.7.9 pip Bootstrap (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Microsoft Office Office 64-bit Components 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Microsoft Office Shared 64-bit MUI (English) 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Windows SDK DirectX x64 Remote,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Google Chrome,Google LLC,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*
Python 2.7.18 (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2005 Redistributable (x64),Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30708,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40660,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Python 3.7.9 Executables (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Python 3.7.9 Documentation (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Autopsy,The Sleuth Kit,cpe:2.3:a:the_sleuth_kit:the_sleuth_kit:*:*:*:*:*:*:*:*
Node.js,Node.js Foundation,cpe:2.3:a:nodejs:nodejs:*:*:*:*:*:*:*:*
Python 3.7.9 Test Suite (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Python 3.7.9 Tcl/Tk Support (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Microsoft Visual Studio Code,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Python 3.7.9 Core Interpreter (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Python 3.7.9 Add to Path (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2017 X64 Debug Runtime - 14.16.27033,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Python 3.7.9 Standard Library (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Visual Studio Build Tools 2017,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Microsoft Office Enterprise 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office_2007:*:*:*:*:*:*:*:*
Graphviz,Graphviz,cpe:2.3:a:graphviz:graphviz:*:*:*:*:*:*:*:*
