name,publisher,custum cpe
Microsoft Visual Studio 2015 Performance Collection Tools - ENU,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.24215,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Intel(R) Chipset Device Software,Intel Corporation,cpe:2.3:a:intel:chipset_device_software:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps DirectX x64 Remote,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft Visual Studio Team Foundation Server 2015 Update 3 CTP1 Storyboarding (x64),Microsoft,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Windows Software Development Kit DirectX x64 Remote,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft SQL Server 2019 RsFx Driver,Microsoft Corporation,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
Microsoft Visual Studio 2015 VsGraphics Helper Dependencies,Microsoft Corporation,"cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Visual C++ IDE x64 Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
SQL Server 2019 Database Engine Shared,Microsoft Corporation,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
SQL Server 2019 Shared Management Objects,Microsoft Corporation,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
Microsoft Visual Studio 2015 Diagnostic Tools - amd64,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Microsoft Visual Studio Team Foundation Server 2015 Update 3 CTP1 Office Integration (x64),Microsoft,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.60610,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft SQL Server Compact 4.0 SP1 x64 ENU,Microsoft Corporation,cpe:2.3:a:microsoft:sql_server:*:*:*:*:*:*:*:*
SQL Server 2019 DMF,Microsoft Corporation,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
Visual Studio 2015 Prerequisites - ENU Language Pack,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
SQL Server 2019 Shared Management Objects Extensions,Microsoft Corporation,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
Office 16 Click-to-Run Localization Component,Microsoft Corporation,"cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
"
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
SQL Server 2019 Connection Info,Microsoft Corporation,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
Microsoft SQL Server 2012 Native Client,Microsoft Corporation,cpe:2.3:a:microsoft:sql_server::*:*:*:*:*:*:*:*
Oracle VM VirtualBox 6.1.30,Oracle Corporation,cpe:2.3:a:oracle:vm_virtualbox:*:*:*:*:*:*:*:*
SQL Server 2019 Database Engine Services,Microsoft Corporation,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
NVIDIA Graphics Driver 457.49,NVIDIA Corporation,cpe:2.3:a:nvidia:binary_graphics_driver:*:*:*:*:*:*:*:*
NVIDIA GeForce Experience 3.20.3.63,NVIDIA Corporation,cpe:2.3:a:nvidia:geforce_experience:*:*:*:*:*:*:*:*
NVIDIA SHIELD Streaming,NVIDIA Corporation,cpe:2.3:a:nvidia:shield_experience:*:*:*:*:*:*:*:*
Microsoft Visual Studio Team Foundation Server 2015 Update 3 CTP1 Storyboarding Language Pack (x64) - ENU,Microsoft,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Microsoft Visual Studio 2015 Update 3 Diagnostic Tools - amd64,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Windows SDK DirectX x64 Remote,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
SQL Server 2019 Batch Parser,Microsoft Corporation,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
Visual Studio 2015 Prerequisites,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Microsoft Visual Studio Team Foundation Server 2015 Update 3 CTP1 Office Integration Language Pack (x64) - ENU,Microsoft,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Microsoft System CLR Types for SQL Server 2014,Microsoft Corporation,cpe:2.3:a:microsoft:sql_server:*:*:*:*:*:*:*:*
Microsoft Visual Studio 2015 Performance Collection Tools,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Citrix Receiver 4.12,"Citrix Systems, Inc.",cpe:2.3:a:citrix:receiver:*:*:*:*:*:*:*:*
Google Chrome,Google LLC,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*
Microsoft Edge,Microsoft Corporation,cpe:2.3:a:microsoft:edge:*:*:*:*:*:*:*:*
Microsoft Edge WebView2 Runtime,Microsoft Corporation,cpe:2.3:a:microsoft:edge:*:*:*:*:*:*:*:*
Microsoft Help Viewer 2.2,Microsoft Corporation,cpe:2.3:a:microsoft:help_file_viewer:*:*:*:*:*:*:*:*
Nmap 7.92,Nmap Project,cpe:2.3:a:microsoft:nmap:*:*:*:*:*:*:*:*
Npcap,Nmap Project,cpe:2.3:a:microsoft:npcap:*:*:*:*:*:*:*:*
Windows Mobile Extension SDK 10.0.14393.0 - ARM,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows SDK Desktop Libs x86,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows Desktop Extension SDK Contracts,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Visual C++ Compiler/Tools X64 X86 Cross Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ Library PGO X86 Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual Studio 2015 Shell (Minimum),Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Visual C++ Compiler/Tools X64 Native Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows SDK Desktop Tools,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Universal General MIDI DLS Extension SDK,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
WCF Data Services Tools for Microsoft Visual Studio 2015,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Windows Software Development Kit - Windows 10.0.15063.468,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps Headers Libs,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows SDK Desktop Headers Libs Metadata,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Visual C++ Compiler/Tools Premium X86 Base Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Python Launcher,Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Visual C++ IDE Windows Express Plus Package,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows Team Extension SDK,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Application Insights Tools for Visual Studio 2015,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Visual C++ IDE Core Professional Plus Resource Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
MSBuild/NuGet Integration 14.0 (x86),Microsoft Corporation,cpe:2.3:a:microsoft:nuget
Microsoft Visual Studio 2015 Universal Windows App Development Tools,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows IoT Extension SDK,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Visual C++ Library CRT X86 Redist Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps Tools,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft VisualStudio JavaScript Project System,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Microsoft Visual Studio 2015 Shell (Minimum) Interop Assemblies,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Microsoft Visual Studio 2015 Devenv Resources,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Windows SDK ARM Desktop Tools,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft .NET Framework 4.5.1 SDK,Microsoft Corporation,cpe:2.3:a:microsoft:.net_framework:*:*:*:*:*:*:*:*
Microsoft .NET Framework 4.5.2 Multi-Targeting Pack,Microsoft Corporation,cpe:2.3:a:microsoft:.net_framework:*:*:*:*:*:*:*:*
Windows Team Extension SDK,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps Headers,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Visual C++ Library CRT X64 Desktop Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows SDK Redistributables,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Visual C++ Library CRT X86 Desktop Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual Studio 2015 Update 3 Diagnostic Tools - ENU,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Visual C++ Library ATL Source Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows Phone SDK 8.0 Assemblies for Visual Studio 2015,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
WinRT Intellisense Xbox Live Extension SDK - Other Languages,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Universal CRT Extension SDK,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2017 Redistributable (x86) - 14.14.26429,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows Team Extension SDK Contracts,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft Visual Studio 2015 XAML Application Timeline,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Windows SDK,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Visual C++ Compiler/Tools Premium X64 X86 Cross Resource Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ Compiler/Tools X86 X64 Cross Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual Studio 2015 Update 3 Diagnostic Tools - x86,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Visual C++ Professional Templates Resource Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ Library ATL X86 Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ Compiler/Tools X86 ARM Cross Resource Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft SQL Server 2014 Management Objects,Microsoft Corporation,cpe:2.3:a:microsoft:sql_server::*:*:*:*:*:*:*:*
Windows Desktop Extension SDK Contracts,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows SDK Desktop Libs x64,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Universal CRT Extension SDK,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU),Microsoft Corporation,cpe:2.3:a:microsoft:.net_framework:*:*:*:*:*:*:*:*
Visual C++ Library PGO Headers Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows IoT Extension SDK,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft .NET Framework 4.6 Targeting Pack,Microsoft Corporation,cpe:2.3:a:microsoft:.net_framework:*:*:*:*:*:*:*:*
Microsoft NuGet - Visual Studio 2015,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Windows Mobile Extension SDK 10.0.10586.0 - ARM,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Visual C++ Library CRT Appx Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft .NET Framework 4.6.1 SDK,Microsoft Corporation,cpe:2.3:a:microsoft:.net_framework:*:*:*:*:*:*:*:*
Visual C++ IDE Base Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ Compiler/Tools Premium ARM Base Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Universal CRT Extension SDK,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft.VisualStudio.Office365,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Project and Item Templates for Visual Studio Express 2015 for Windows 10 - ENU,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Windows Desktop Extension SDK Contracts,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows SDK Desktop Tools x86,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Visual C++ Library CRT ARM Store Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ Compiler/Tools Premium X64 Base Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual Studio 2015 SDK - ENU,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Microsoft Visual Studio 2015 SDK Language Pack - ENU,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Visual C++ MSBuild Base Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual Studio 2015 Update 3 Diagnostic Tools - x86,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Project and Item Templates for Visual Studio Professionald 2015 - ENU,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
WebAdvisor by McAfee,"McAfee, LLC",cpe:2.3:a:mcafee:webadvisor:*:*:*:*:*:*:*:*
Windows Software Development Kit for Windows Store Apps,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Blend for Visual Studio SDK for .NET 4.5,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio_.net:*:*:*:*:*:*:*:*
Visual C++ Professional Items Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ Library ATL Headers Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows SDK Desktop Headers x86,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.60610,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps Contracts,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Visual C++ Compiler/Tools Premium X64 ARM Cross Resource Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual Studio 2015 Windows Diagnostic Tools,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Microsoft VisualStudio JavaScript Language Service,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
PreEmptive Analytics Visual Studio Components,PreEmptive Solutions,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Windows Software Development Kit - Windows 10.0.10586.212,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Visual C++ Professional Templates Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows Phone 8.1 Tools for Visual Studio 2015 - ENU,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Visual C++ MFC Items Resource Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ Library MFC X64 Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft .NET Framework 4.6.1 Developer Pack,Microsoft Corporation,cpe:2.3:a:microsoft:.net_framework:*:*:*:*:*:*:*:*
Microsoft SQL Server 2014 T-SQL Language Service,Microsoft Corporation,cpe:2.3:a:microsoft:sql_server
Windows Mobile Extension SDK 10.0.10586.0 - x86,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Visual C++ Compiler/Tools Premium ARM Base Resource Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows SDK EULA,Microsoft Corporations,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows IoT Extension SDK Contracts,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft Visual Studio 2015 Profiling Tools,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Windows SDK Desktop Libs arm64,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Python Tools 2.2.6 for Visual Studio 2015,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Visual C++ Professional Items Resource Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ Compiler/Tools X86 ARM Cross Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ MSBuild ARM Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ Compiler/Tools X86 X64 Cross Resource Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ Library CRT Redist Resource Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows Phone 8.1 Tools for Visual Studio Express 2015 for Windows,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Visual C++ Library ATL ARM Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Azure Mobile Services Tools for Visual Studio - v1.4,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Visual C++ Library PGO ARM Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows Team Extension SDK,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows Software Development Kit for Windows Store Apps DirectX x86 Remote,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft .NET Framework 4.5 Multi-Targeting Pack,Microsoft Corporation,cpe:2.3:a:microsoft:.net_framework:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps Headers Libs,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ Compiler/Tools Premium X86 Native Resource Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ IDE Professional Plus Resource Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ Compiler/Tools Premium X86 ARM Cross Resource Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual Studio Community 2015 - ENU,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Visual C++ IDE Optional MFC Support Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows Phone 8.1 Tools for Visual Studio Professional 2015,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Visual C++ Compiler/Tools X64 ARM Cross Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ Library ATL X64 Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ Library MFC X86 Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Browser for SQL Server 2019,Microsoft Corporation,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
Microsoft .NET Native SDK Tools,Microsoft Corporation,cpe:2.3:a:microsoft:.net_core_sdk:*:*:*:*:*:*:*:*
Windows Mobile Extension SDK 10.0.14393.0 - x86,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Visual C++ Library CRT X64 Redist Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ Compiler/Tools X86 Base Resource Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps Headers Libs,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows SDK Desktop Headers Libs Metadata,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual Studio 2015 SDK - ENU,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Visual C++ Compiler/Tools X86 Native Resource Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft .NET Framework 4.5.1 Multi-Targeting Pack,Microsoft Corporation,cpe:2.3:a:microsoft:.net_framework:*:*:*:*:*:*:*:*
Universal General MIDI DLS Extension SDK,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft Visual Studio 2015 Update 3 Diagnostic Tools - x86,Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
SDK ARM Additions,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2017 x86 Additional Runtime - 14.14.26429,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual C++ CRT Headers Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps Metadata,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows SDK EULA,Microsoft Corporations,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Microsoft Visual Studio Connected Services,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2017 x86 Minimum Runtime - 14.14.26429,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Citrix Receiver(USB),"Citrix Systems, Inc.",cpe:2.3:a:citrix:receiver:*:*:*:*:*:*:*:*
Visual C++ Library CRT ARM OneCore For Desktop Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual Studio Community 2015 with Updates,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Microsoft Visual Studio Services Hub,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Visual C++ IDE Desktop Plus Resource Package,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Visual Studio 2015 Update 3 (KB3022398),Microsoft Corporation,"
cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
